Questions,Answer
What are Mosaic Virus?,"Mosaic viruses affect more than 150 types of plants, including many fruits, vegetables, and flowers. The disease is characterized by leaves that are mottled with yellow, white, and light or dark green spots and streaks . Some of the most commonly infected plants include tomatoes, squashes, cauliflower, and cucumbers, but many more plants are susceptible."
Types of Mosaic Virus?,"Tobacco Mosaic Virus (TMV), Cucumber Mosaic Virus (CMV), Bean Common Mosaic Virus (BCMV), Bean Yellow Mosaic Virus (BYMV)."
How to identify Mosaic Virus?,"The leaves are mottled with yellow, white, and light and dark green spots. Plants may have other deformities and their leaves may be crinkled or wavy."
How to treat Mosaic Virus for infected plants ?,Remove all infected plants and destroy them; Monitor the rest of plants closely; Disinfect gardening tools after every use.
How to prevent Mosaic Virus?,Plant virus-resistant varieties; Try to cover plants with a floating row cover or aluminum foil mulches to prevent insects (e.g. aphids and leafhoppers) from infecting plants; Control weeds; Soak seeds of susceptible plants in a 10% bleach solution before planting.
What Plants will be affected?,"Tomatoes, Cucumbers, Cauliflower, Squash (Zucchini), Watermelons, Green Beans, etc."
How does TMV transmit？,"TMV is very easily transmitted when an infected leaf rubs against a leaf of a healthy plant, by contaminated tools, and occasionally by workers whose hands become contaminated with TMV after smoking cigarettes."
How long can mosaic viruses live in the dirt?,"The mosaic virus can overwinter in the roots of perennial weeds, flowers, and some crops plants. It grows with the plant in the spring, appearing in the upper leaves. However, it can not live in extremely dry conditions. As for planting now, avoid plants varieties that are susceptible to the cucumber mosaic virus; grow resistant cultivars and use resistant seeds. Consider using row covers to prevent aphids from reaching plants in the first place (aphids bring on CMV). This page from the Tennessee cooperative extension service provides a list of vegetables and varieties and resistance: https://extension.tennessee.edu/publications/documents/SP277-K.pdf"
Would parsley and raspberries be susceptible to the mosaic virus?  Would pruning out infected growth on the raspberries help control? ,"Yes, mosaic viruses can affect both raspberries and celery. Cutting out infected material can slow the virus spread to adjacent plants, but it will not cure the infected plant. Unfortunately, once a plant has contracted a mosaic virus, it will always be infected."
Can i eat tomatoes with mosaic virus?,"We suggest that when in doubt, throw it out, especially if the harvested part is a part that is directly affected, such as leaves. If fruit shows no blemishes, it might be OK to eat it, even if the rest of the plant shows symptoms. Some diseases only cause cosmetic damage to the fruit, not internal, and would be fine to eat. Others, though, that attack the interior of the fruit will likely, at the very least, affect quality and flavor. Most plant diseases are not transferable to humans. Some bacteria, etc., are, however, or some fungi, although not harmful directly, can produce compounds that are. If a plant is weakened, secondary infections may also arise."
